Partition,Algorithm,User,TestTime,NAttempted,NGood,Coverage,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
5,lucene,24386,0.038,5,4,0.8,0.9234007221289496,12.654648767857287,0.0,0.0,,0.0
5,lucene,24797,0.11,5,5,1.0,0.997625976257433,14.565748688506009,0.0,0.0,,0.0
5,lucene,24884,0.117,5,5,1.0,0.9862133635578468,13.200537007218344,0.0,0.0,,0.0
5,lucene,26022,0.107,5,5,1.0,1.0,14.531086967542706,0.0,0.0,,0.0
5,lucene,26222,0.139,5,5,1.0,0.9315869877194646,10.684818934934553,0.0,0.0,,0.0
5,lucene,27731,0.11800000000000001,5,5,1.0,0.9563040614899526,14.98134016304077,0.0,0.0,,0.0
5,lucene,27838,0.14100000000000001,5,4,0.8,0.8694922565469023,11.7082541375001,0.0,0.0,,0.0
5,lucene,31273,0.137,5,5,1.0,0.9562032481535279,13.516001884004073,0.0,0.0,,0.0
5,lucene,31392,0.07,5,5,1.0,0.9014691866236341,11.615495493007945,0.0,0.0,,0.0
5,lucene,33860,0.069,5,5,1.0,0.926793287397996,12.0381711090793,0.0,0.0,,0.0
5,lucene,33871,0.135,5,5,1.0,0.9707391842223302,14.41587528625504,0.07343375905842243,0.041666666666666664,24,0.041666666666666664
5,lucene,38159,0.116,5,5,1.0,0.9946817236978255,12.965622090756977,0.08836332370980299,0.06666666666666667,15,0.06666666666666667
5,lucene,38875,0.031,5,4,0.8,0.8026410909913734,11.839183891071558,0.0,0.0,,0.0
5,lucene,41244,0.122,5,5,1.0,0.9666541116968025,8.70762114875494,0.0,0.0,,0.0
5,lucene,41518,0.128,5,5,1.0,0.9489984351762322,14.027228402401827,0.0,0.0,,0.0
5,lucene,41557,0.061,5,5,1.0,0.9860731191998284,13.065748688506009,0.09087503330236925,0.1,10,0.1
5,lucene,41703,0.10200000000000001,5,5,1.0,0.9348123351713753,12.2464252465794,0.0,0.0,,0.0
5,lucene,43599,0.11800000000000001,5,4,0.8,0.908128062428975,10.642789260714373,0.0,0.0,,0.0
5,lucene,43618,0.158,5,5,1.0,0.9950722510209266,13.219480655897856,0.0,0.0,,0.0
5,lucene,43649,0.032,5,5,1.0,0.8477174315279157,12.677101804652795,0.0,0.0,,0.0
5,lucene,44086,0.091,5,5,1.0,0.9826898392162938,15.08469233718552,0.0,0.0,,0.0
5,lucene,45252,0.052000000000000005,5,4,0.8,0.9133083335426964,11.7082541375001,0.0,0.0,,0.0
5,lucene,45619,0.17400000000000002,5,5,1.0,0.9933386987936906,14.930960369793672,0.0,0.0,,0.0
5,lucene,45669,0.125,5,5,1.0,0.973367919374376,10.404015779112127,0.0,0.0,,0.0
5,lucene,45854,0.074,5,5,1.0,0.9832819696643554,16.742566681438525,0.2642825886663527,1.0,1,1.0
5,lucene,45928,0.866,5,5,1.0,0.9699669517480646,11.919733851395918,0.0,0.0,,0.0
5,lucene,46645,0.125,5,5,1.0,1.0,13.319607253646886,0.0,0.0,,0.0
5,lucene,46809,0.134,5,5,1.0,0.9420837525584614,13.019227460399792,0.07534236972936777,0.05,20,0.05
5,lucene,50019,0.049,5,5,1.0,0.8307948409504272,6.988424304577366,0.0,0.0,,0.0
5,lucene,51255,0.034,5,3,0.6,0.7698200575377435,10.392789260714373,0.0830515222290727,0.045454545454545456,22,0.045454545454545456
5,lucene,51549,0.107,5,5,1.0,0.9914876837893399,15.25028381172028,0.08537997795891467,0.07142857142857142,14,0.07142857142857142
